item_no,price,rating,title
118870,27.89,4.6,REI Co-op Pack Duffel Bag
114088,104.89,4.5,Mountain Summit Gear Deluxe Roll Top Kitchen
149913,87.39,4.5,Eureka Ignite 2-Burner Camp Stove
188477,224.89,4.3,MSR Guardian Gravity Purifier
217995,69.89,4.3,REI Co-op Wonderland Chair
695265,89.89,4.0,MSR MiniWorks EX Water Filter
204150,160.29,4.8,Sea to Summit Comfort Plus Insulated Air Sleeping Pad
152785,279.29,4.6,Sea to Summit Ascent AcI 25 Sleeping Bag
220452,26.19,4.7,Coast FL1R Micro Headlamp
191716,599.19,4.6,Sea to Summit Telos TR3 Plus Tent
233487,29.73,0.0,Pepper's Mojo Polarized Sunglasses
213202,5.73,4.4,Sunday Afternoons UVShield Cool Face Mask - Package of 2
199157,85.73,3.0,Komperdell Carbon Trailstick Trekking Poles - Pair
226971,170.73,2.3,Smith Attack MAG MTB ChromaPop Sunglasses
234177,174.73,0.0,Granite Gear Perimeter 50 Pack - Women's
204531,90.99,4.3,REI Co-op Cool Haul 24 Soft Cooler
186014,62.89,4.5,REI Co-op Outward Lawn Chair
214932,104.73,4.3,Outdoor Research Warnick Sensor Gloves
213702,112.39,4.8,Mountainsmith Bear Creek 2 Tent with Footprint
184729,38.39,4.7,REI Co-op Walker Power Lock Staff - Single
205764,59.99,4.7,Deuter Speed Lite 21 Pack
204532,69.89,4.1,REI Co-op Cool Trail Pack Cooler
890802,142.39,4.5,MSR WindBurner Stove System
172615,139.29,4.3,Sea to Summit Ether Light XT Insulated Air Sleeping Pad - Women's
203241,269.89,4.9,Gregory Deva 70 Pack - Women's
215312,99.89,3.7,Nikon Prostaff P3 8 x 42 Binoculars
193017,209.29,3.2,REI Co-op Camp Dreamer Double Sleep System
168261,18.79,4.6,REI Co-op Duck's Back Rain Cover - XS
227819,31.73,3.0,Gregory 3D Hydro Reservoir - 3 Liters
227650,49.73,4.6,CamelBak Arete 18 Hydration Pack 50 fl. oz.
149101,63.73,3.1,ALPS Mountaineering Canyon 30 Pack
